id,price_doc
30474,5305061.0
30475,7980193.5
30476,5347138.5
30477,5646443.5
30478,4927283.5
30479,9060924.0
30480,4238891.5
30481,4240759.5
30482,4773560.5
30483,4650395.0
30484,6540763.0
30485,4896054.5
30486,3681127.25
30487,3736654.75
30488,6172081.5
30489,6163458.5
30490,21545250.0
30491,18706594.0
30492,5678932.0
30493,13225248.0
30494,6586702.5
30495,10632787.0
30496,8934921.0
30497,8006477.5
30498,4438589.5
30499,7872717.5
30500,11127730.0
30501,6868632.0
30502,3042074.0
30503,6066022.5
30504,5533446.5
30505,11203504.0
30506,3358462.25
30507,4681267.0
30508,5324341.5
30509,7359162.5
30510,9149023.0
30511,6311035.0
30512,6216309.0
30513,4272223.0
30514,3395977.25
30515,9477962.0
30516,5705042.0
30517,10258759.0
30518,9519359.0
30519,4516663.5
30520,6939795.0
30521,5639593.0
30522,7353283.5
30523,6205221.0
30524,11624386.0
30525,10224184.0
30526,4847632.5
30527,4879376.5
30528,6478237.5
30529,6559059.0
30530,6162665.0
30531,14755801.0
30532,4734989.5
30533,10742683.0
30534,6816720.5
30535,9349940.0
30536,5687219.0
30537,11330747.0
30538,4920817.0
30539,8490174.0
30540,9598340.0
30541,6345350.0
30542,1979851.25
30543,5472105.0
30544,6740221.0
30545,8375686.5
30546,4317079.0
30547,9355898.0
30548,4545104.5
30549,5004776.5
30550,11911496.0
30551,4958314.5
30552,1680172.25
30553,7112998.0
30554,10662824.0
30555,6071630.5
30556,9127184.0
30557,7528774.5
30558,9149913.0
30559,6482316.0
30560,6181483.0
30561,6869025.0
30562,11697182.0
30563,4962822.5
30564,6688578.0
30565,6727383.5
30566,7242568.5
30567,1831931.25
30568,9567688.0
30569,9611164.0
30570,6470957.5
30571,7403927.0
30572,4832082.5
30573,6452495.0
30574,5926288.5
30575,7284817.0
30576,4856410.5
30577,4225697.0
30578,3315763.0
30579,7037615.0
30580,4449846.5
30581,5372860.5
30582,13301851.0
30583,6790390.5
30584,4407737.0
30585,2570811.75
30586,8576207.0
30587,5815827.5
30588,7957470.5
30589,7007063.5
30590,12001096.0
30591,5017039.0
30592,6428387.0
30593,8215393.5
30594,6438879.0
30595,5437837.5
30596,6390441.0
30597,6452495.0
30598,9426382.0
30599,10711277.0
30600,4999500.5
30601,5905048.0
30602,1624574.375
30603,11969434.0
30604,4481950.5
30605,6600385.5
30606,20577922.0
30607,6589077.5
30608,8404940.0
30609,6197869.5
30610,2878736.0
30611,5355206.5
30612,7154579.5
30613,8865609.0
30614,16679646.0
30615,7422584.5
30616,5504446.0
30617,9273533.0
30618,4807303.0
30619,4149485.25
30620,2656567.25
30621,8474368.0
30622,7985553.0
30623,6143945.0
30624,6572214.5
30625,7906599.0
30626,6413440.0
30627,6946754.5
30628,6319370.0
30629,4951255.0
30630,4768314.5
30631,5854548.0
30632,3980171.75
30633,5891345.5
30634,10875452.0
30635,9594057.0
30636,5361988.0
30637,9399182.0
30638,5839837.5
30639,7401082.0
30640,4542781.5
30641,8083453.0
30642,6452101.0
30643,7653778.0
30644,9442992.0
30645,7261698.5
30646,5176045.0
30647,4688701.5
30648,24947252.0
30649,2336103.25
30650,4891228.5
30651,3510272.25
30652,4375722.0
